Accession,Gene Symbol
O95800,GPR75
P00966,ASS1
P01036,CST4
P01100,FOS
P01594,IGKV1-33
P01699,IGLV1-44
P08473,MME
P0DOY3,IGLC3
P10912,GHR
P14618,PKM
P15923,TCF3
P20813,CYP2B6
P24723,PRKCH
P26599,PTBP1
P42695,NCAPD3
P45877,PPIC
P49773,HINT1
P49888,SULT1E1
P54277,PMS1
P58215,LOXL3
Q01726,MC1R
Q02252,ALDH6A1
Q07325,CXCL9
Q13129,RLF
Q14966,ZNF638
Q16533,SNAPC1
Q30KP8,DEFB136
Q32P41,TRMT5
Q330K2,NDUFAF6
Q495Z4,ASB16-AS1
Q53EZ4,CEP55
Q5JVG2,ZNF484
Q5T686,AVPI1
Q5TCM9,LCE5A
Q5VU36,SPATA31A5
Q5VWG9,TAF3
Q6NV74,CRACDL
Q6UXR8,UNQ6493/PRO21345
Q6UXV4,APOOL
Q6ZRR5,TLCD5
Q7L804,RAB11FIP2
Q86SM5,MRGPRG
Q86W34,AMZ2
Q8IXI1,RHOT2
Q8N465,D2HGDH
Q8N5X7,EIF4E3
Q8NFP7,NUDT10
Q8NG85,OR2L3
Q8NGX2,OR2T35
Q8TAD7,OCC1
Q8TBG9,SYNPR
Q8TBZ0,CCDC110
Q8WTQ7,GRK7
Q8WWU5,TCP11
Q8WYQ9,ZCCHC14
Q96AT9,RPE
Q96E11,MRRF
Q96GE4,CEP95
Q96M32,AK7
Q96P71,NECAB3
Q96SZ5,ADO
Q99442,SEC62
Q9BRP4,PAAF1
Q9BTM9,URM1
Q9BX93,PLA2G12B
Q9BYJ0,FGFBP2
Q9GZU0,C6orf62
Q9H2K0,MTIF3
Q9H3R1,NDST4
Q9H6X4,TMEM134
Q9H9S0,NANOG
Q9HAT2,SIAE
Q9HC78,ZBTB20
Q9NX55,HYPK
Q9NXE4,SMPD4
Q9P0V8,SLAMF8
Q9P2X8,LINC00474
Q9UBP0,SPAST
Q9UI42,CPA4
Q9UKU6,TRHDE
Q9Y252,RNF6
Q9Y5Z9,UBIAD1
Q9Y6B2,EID1
A0A3B3IT33,TRIM51G
A0AUZ9,KANSL1L
A6XGL0,YJEFN3
A8MT70,ZBBX
A8MVS5,HIDE1
O00471,EXOC5
O15056,SYNJ2
O15075,DCLK1
O43304,SEC14L5
O43681,GET3
O60309,LRRC37A3
O75094,SLIT3
P03901,MT-ND4L
P04275,VWF
P07476,IVL
P08833,IGFBP1
P0DN81,OR13C7
P20292,ALOX5AP
P20472,PVALB
P22626,HNRNPA2B1
P26639,TARS1
P29597,TYK2
P34903,GABRA3
P35269,GTF2F1
P48539,PCP4
P50225,SULT1A1
P50995,ANXA11
P51693,APLP1
P51801,CLCNKB
P52298,NCBP2
P54819,AK2
P59539,TAS2R45
P68366,TUBA4A
Q09019,DMWD
Q0WX57,USP17L24
Q13905,RAPGEF1
Q13956,PDE6H
Q15042,RAB3GAP1
Q15283,RASA2
Q15437,SEC23B
Q155Q3,DIXDC1
Q309B1,TRIM16L
Q58FF8,HSP90AB2P
Q5BJH7,YIF1B
Q5D0E6,DALRD3
Q5H9J7,BEX5
Q5TYX0,PRAMEF5
Q6IPU0,CENPP
Q6UXQ4,C2orf66
Q6XPR3,RPTN
Q6ZRY4,RBPMS2
Q6ZUK4,TMEM26
Q6ZVT6,CFAP20DC
Q7Z4I7,LIMS2
Q7Z769,SLC35E3
Q86WG5,SBF2
Q86WH2,RASSF3
Q86XK2,FBXO11
Q8IUC4,RHPN2
Q8IVF1,NUTM2A
Q8IX01,SUGP2
Q8IXM2,BACC1
Q8N1I0,DOCK4
Q8N205,SYNE4
Q8N6R0,METTL13
Q8N9Z9,LMNTD1
Q8NEF9,SRFBP1
Q8NEV1,CSNK2A3
Q8NGV0,OR2Y1
Q8TAC1,RFESD
Q8TAE7,KCNG3
Q8TAI7,RHEBL1
Q8WTU2,SSC4D
Q8WVE0,EEF1AKMT1
Q96A54,ADIPOR1
