Accession,Gene Symbol
Q9Z260,Cldn8
A0A0G2JE61,Iglj1
A0A0G2JF45,Igkv14-130
A0A140LIJ0,Dcst2
A0A140T8J9,Or2d3c
A0A140T8Q5,Btbd35f21
A0A1B0GRI9,Gm45871
A0A1D5RM54,Mroh3
A0A1L1STD6,Inafm2
A2A958,Pramel29
C0HKC8,Smok3a
C0HKD9,Mfap1b
G3X9K7,Apol10b
H3BK37,Vmn2r99
J3QMD1,Krtap10-34
K7N6B3,Or52z13
L7N210,Or8c17
L7N2B8,Vmn2r61
O09043,Napsa
O35174,Kcns2
O35598,Adam10
O70131,Ninj1
P04426,Wnt1
P07744,Krt4
P0C7M9,Clec2l
P13597,Icam1
P16092,Fgfr1
P20352,F3
P25085,Il1rn
P33175,Kif5a
P35918,Kdr
P43432,Il12b
P55249,Alox12e
P61458,Pcbd1
P62137,Ppp1ca
P62932,Fbxo40
Q14DQ1,Fam219b
Q3UHF7,Hivep2
Q3URS3,Lrcol1
Q3UX10,Tubal3
Q3UZB0,Armcx5
Q4VGL6,Rc3h1
Q52KF3,Spire1
Q571J5,Znf354c
Q5BKQ4,Pnliprp1
Q60604,Scin
Q60934,Grik1
Q61090,Fzd7
Q61909,Runx1t1
Q62151,Ager
Q64314,Cd34
Q6GQV7,Edrf1
Q6NZN0,Rbm26
Q6PAI5,Crct1
Q6PD28,Ppp2r5b
Q6U7H8,Pip5kl1
Q6XJV4,Cd200r4
Q71KT5,Tm7sf2
Q78XF5,Ostc
Q7TMM9,Tubb2a
Q7TN89,Eras
Q7TQK5,Ccdc93
Q7TR43,Or5w1
Q7TT36,Adgra3
Q80TZ9,Rere
Q8BGH7,Cdc42se2
Q8BH86,Dglucy
Q8BHY8,Snx14
Q8BK62,Olfml3
Q8BKE9,Ift74
Q8BPI1,Dnaaf2
Q8BUG5,Caps2
Q8C0V1,Terb1
Q8C310,Robo4
Q8CAC8,Spink10
Q8CGP7,H2ac15
Q8CJ96,Rassf8
Q8K1X4,Nckap1l
Q8R015,Bloc1s5
Q8R3S2,Tspan33
Q8VI47,Abcc2
Q91V13,Leap2
Q91XZ6,Pcdhb4
Q91YY4,Atpaf2
Q91Z83,Myh7
Q91ZW8,Cd209d
Q922H7,Rasl11b
Q9CRC0,Vkorc1
Q9CV82,2310003L06Rik
Q9CYR6,Pgm3
Q9D0R8,Lsm12
Q9D2V5,Aar2
Q9D496,Ccdc121
Q9D8S9,Bola1
Q9DAZ2,Prl2b1
Q9JIE6,Tslp
Q9JIY2,Cbll1
Q9QXW9,Slc7a8
Q9R0P5,Dstn
Q9R2A2,Magea2
Q9WUL7,Arl3
A0A075B5X3,Ighv1-64
A0A075B5X4,Ighv8-11
A0A075B5Z2,Trgc2
A0A075B699,Trav9d-1
A0A087WRP6,Gm28576
A0A0A6YW27,Pcdhga1
A0A0B4J1K1,Trav4-3
A0A0G2JDI1,Igkj5
A0A1B0GR83,Tex53
A0A286YEC0,Cirop
A0AAG1F8X7,N/A
A0AAG1GLY0,LOC102634529
A2AVQ5,Cimap2
A2BFR3,H2al1j
D3Z120,Foxi3
D3Z1U7,Tmem233
E9PV96,Or52a20
E9PVZ7,Or8b3b
E9Q7T7,Chadl
F6XWB2,Igkv1-99
K7N641,Or2ag1b
O35954,Pitpnm1
P01639,Igkv9-120
P02664,Csn1s2b
P05555,Itgam
P14869,Rplp0
P20109,Il13
P35383,P2ry2
P51807,Dynlt1
P56391,Cox6b1
P57774,Npy
P58321,Uchl4
P58742,Aaas
P59110,Senp1
P62257,Ube2h
P63115,Slc7a10
P97353,Sec1
Q01341,Adcy6
Q03404,Tff2
Q3TL54,Trim43a
Q3UM18,Lsg1
Q3USZ2,Ubtfl1
Q571I4,Prag1
Q5RL51,Gstcd
Q5SVD6,Vmn1r195
Q5U3K5,Rabl6
Q5U464,Asap3
Q60882,Or8b8
Q61048,Wbp4
Q61324,Arnt2
Q62100,Prm3
Q640N3,Arhgap30
Q6P3D7,Spic
Q6PE55,Pdgfrl
Q6PFC5,Lrit2
Q6PFD5,Dlgap3
Q6ZQI3,Mlec
Q7TRM0,Or11g2
Q7TSG2,Ctdp1
Q80TA1,Selenoi
Q80TS5,Znf423
Q80UG1,Fads6
Q80YS9,Stkld1
Q80ZD9,Amigo2
Q8BGN8,Synpr
Q8BQR7,Mageb18
Q8BR21,Fam180a
Q8BTG6,Spring1
Q8BVV7,Cep95
Q8C160,Mslnl
Q8CA71,Shisa4
Q8CAE9,Podxl2
Q8CG16,C1ra
Q8JZP3,Klhl2
Q8R0N9,Zdhhc1
Q8VBV4,Fbxw7
Q91VE5,Pcdhb10
Q925I1,Atad3a
Q99K67,Aass
Q9CQF3,Nudt21
Q9CXU9,Eif1b
Q9CYH2,Prxl2a
Q9D0I4,Stx17
Q9D0L8,Rnmt
Q9D0S9,Hint2
Q9D136,Ogfod3
Q9D2F7,Nup210l
Q9D6S7,Mrrf
Q9D773,Mrpl2
Q9D7C9,Nmrk2
Q9D8Y1,Tmem126a
Q9D968,Hcfc2
Q9DBH5,Lman2
Q9EPU4,Cpsf1
Q9ESY9,Ifi30
Q9JJ59,Abcb9
Q9JKU8,Lmx1a
Q9R0Q8,Clec4e
Q9WV32,Arpc1b
Q9WV91,Ptgfrn
A0A075B5M7,Igkv5-39
A0A0N4SVP2,Or2ak4
A0A140LIP3,4933424G06Rik
A0AAG1F914,LOC100041057
A0AAG1GJT8,LOC671917
A2ABG4,Tbc1d16
A2APC3,Ttll9
A2ASU7,Or5m12
A2AVZ9,Slc43a3
E9PZ36,Pkhd1
E9Q069,Vmn1r157
E9Q8G3,Tmem265
E9Q9F7,Ccdc146
F6QJK4,4930444P10Rik
L7N244,Gm20878
L7N2C9,Vmn1r117
O35126,Atn1
O54828,Rgs9
O54974,Lgals7
O55203,Ldb2
O70481,Ubr1
O88593,Pglyrp1
P05143,Prp2
P09242,Alpl
P60867,Rps20
P62305,Snrpe
P62492,Rab11a
P70691,Ugt1a2
Q32M07,Ak8
Q3UB74,Tbrg1
Q3UCV8,Otulin
Q3UKY7,Prss38
Q3V2L0,Defb28
Q5SQK8,4930512M02Rik
Q61268,Apoc4
Q61316,Hspa4
Q61543,Glg1
Q62077,Plcg1
Q62293,Tgtp1
Q68FM7,Arhgef11
Q69Z23,Dnah17
Q6P8Y1,Capsl
Q78IK2,Atp5mk
Q7M713,Tas2r116
Q7TMF3,Ndufa12
Q7TPY9,Ldoc1
Q7TQK1,Ints7
Q80TL0,Ppm1e
Q80V42,Cpm
Q80WG7,Trim36
Q80ZA7,Fmr1nb
Q80ZD8,Amigo1
Q811L6,Mast4
Q8BJ51,Mfsd11
Q8BLS7,Sowaha
Q8BMJ8,Sp8
Q8BVA4,Lmod1
Q8BWC0,Tpcn2
Q8BXQ2,Pigt
Q8C6G8,Wdr26
Q8C7D3,Pabpc5
Q8JZU6,Pxdc1
Q8K120,Nfatc4
Q8K1I3,Spp2
Q8R143,Pttg1ip
Q8R184,Fam110a
Q8R332,Nup58
Q8VBZ3,Clptm1
Q8VC12,Uroc1
Q8VCN9,Tbcc
Q8VE38,Oxnad1
Q8VEK3,Hnrnpu
Q8VF06,Or52e4
Q8VGD8,Or2z2
Q8VIH9,Uts2r
Q91VL9,Zbtb1
Q91VP7,Tmem101
Q91ZG2,Mpped1
Q925I0,Krtap19-2
Q99KR3,Lactb2
Q99LM3,Smtnl1
Q99MT2,Msh4
Q99N95,Mrpl3
Q99PT9,Kif19
Q9CQ44,Tmem218
Q9CQ52,Cela3b
Q9CR80,Fam32a
Q9CR92,Cfap184
Q9CWF6,Bbs2
Q9D211,Cdkn2aipnl
Q9D273,Mmab
Q9D518,Fam227b
Q9D9Z7,H2bl1
Q9JKR6,Hyou1
Q9QUL3,Pla2g2e
Q9QYZ9,Prss30
Q9QZ09,Phtf1
Q9Z2F2,Oasl2
Q9Z2M6,Ubl3
Q9Z329,Itpr2
A0A075B5S3,Ighv14-4
A0A075B658,Trdv2-1
A0A087WQA2,E130114P18Rik
A0A0B4J1H6,Igkv2-137
A0A0G2JF06,Traj41
A0A140T8P4,Igkv3-9
A0A3B2WBA1,Vmn2r56
A0A9L6KE99,Gm58669
A0A9L6KEA6,Gm58676
A2AJA7,Mamdc4
A2ASA8,Itpripl1
A4FUP9,Glt1d1
A9Z055,H2al2c
B2RR88,Zfp964
B8JK39,Itga9
C4P6S0,Nsun4
D3YUI0,Vmn2r24
D3Z0P8,Tmem200b
E9Q414,Apob
E9Q8Q8,Spaca6
E9Q956,Mcmdc2
L7N1X4,Zfp457
O35711,Ppfibp2
O88935,Syn1
O89009,Magea5
P08905,Lyz2
P10856,Tnp1
P18872,Gnao1
P47932,Rln1
P51945,Ccng1
P58058,Nadk
P60761,Nrgn
P61358,Rpl27
P70205,Adcyap1r1
P70281,Sycp3
Q05AH6,Spindoc
Q0KL02,Trio
Q0VBL1,Tigd2
Q32M02,Fscn2
Q3TNU4,Gm3414
Q3UEN2,Shld2
Q3UGR5,Hdhd2
Q3UMG5,Lrch2
Q4LDD4,Arap1
Q5DU41,Lrrc8b
Q5HZG4,Taf3
Q60857,Slc6a4
Q61371,Ift88
Q62520,Zic2
Q64311,Ntan1
Q64674,Srm
Q66JY6,Arhgef39
Q6A0D4,Rftn1
Q6HA09,Astl
Q6NXL5,Acap3
Q6NZB1,Prmt6
Q6R5P0,Tlr11
Q6VNB8,Wdfy3
Q6W5C0,Cxcl3
Q6ZWY8,Tmsb10
Q7TN12,Inava
Q7TN16,Hhip
Q7TN37,Trpm4
Q7TRE4,Or8b12c
Q80SY6,Mapda
Q80TD3,Fnip2
Q80W26,Chil6
Q8BG17,Nol12
Q8BHE3,Atcay
Q8BI69,Znf784
Q8BPX9,Slc15a3
Q8BUZ1,Abra
Q8BWE1,1810024B03Rik
Q8BZ34,Znf641
Q8C163,Exog
Q8C353,Tmem252
Q8JZU2,Slc25a1
Q8K202,Polr1e
Q8K5C0,Grhl2
